item_code,item_name,brand,category
BAKS-DRO-1004,Bakson B69  Sciatica Drops 30 ml,Bakson,Ortho Care
WZL-TAB-1065,Wheezal FJM Wartilex 75Tab,Wheezal,Skin Care
WZL-TAB-1026,Wheezal Vitamin D+ 30tab,Wheezal,Suppliments
WZL-TAB-1021,Wheezal Rheumotox Tab 25gm,Wheezal,Ortho Care
WZL-TAB-1009-1,Wheezal Fjm Laxilex Y 75Tab,Wheezal,Stomach Care
WZL-SYP-1012,Wheezal Leucorine Syrup 120ml,Wheezal,Female Care
WZL-SCLP-1001,Wheezal Arnica Hair n Scalp Treatment 200ml,Wheezal,Hair Care
WZL-PDR-1002-1,Wheezal Calendula Nectar Cool Powder 100gm,Wheezal,Skin Care
WZL-OIL-1002-1,Wheezal Scaboil 60ml,Wheezal,Skin Care
WZL-NDR-1049-1,Wheezal WL54 Gout Drops 30ml,Wheezal,General
WZL-NDR-1045,Wheezal WL50 Psoriasis Drops 30ml,Wheezal,Skin Care
WZL-NDR-1027-1,Wheezal WL32 Renal Pain Drops 30ml,Wheezal,Renal Care
WZL-NDR-1019-1,Wheezal WL21 Joint Relief Drops 30ml,Wheezal,Ortho Care
WZL-NDR-1011-1,Wheezal WL13 Glandula Drops 30ml,Wheezal,General
WZL-GEL-1002-1,Wheezal Petrolatum Pure Petroleum Jelly 50gm,Wheezal,Skin Care
WZL-DRO-1057,Wheezal Mensorin Drops 30ml,Wheezal,Female Care
WZL-DRO-1001,Wheezal Diabonol Drops 30ml,Wheezal,Diabetic BP Cholesterol
WZL-DNT-1001,Wheezal Charcoal Tooth Paste 100gm,Wheezal,Dental Care
WZL-BOIL-1001-1,Wheezal Baby Oil 100ml,Wheezal,Paediatric Care
WSI-TAB-2493-2,Schwabe India Magnesia Phos 6X 20gm,Schwabe India,Bio Tab/ Powder
WSI-TAB-2473,Schwabe India Hekla Lava 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-2463,Schwabe India Natrum Ars 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-2461,Schwabe India Mercurius Iod Ruber 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-2460-1,Schwabe India Mercurius Dulcis 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-2460,Schwabe India Mercurius Dulcis 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-2438,Schwabe India Aurum Mur 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-1118,Schwabe India BC 7 20gm,Schwabe India,Bio Tab/ Powder
WSI-TAB-1110,Schwabe India Baryta Carb 6X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-1093,Schwabe India Antipyrinum 6X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-1090,Schwabe India Fel Tauri 6X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-1086,Schwabe India Kali Nit 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-1029-2,Schwabe India Uranium Nit 4X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-1027-2,Schwabe India Aurum Mur Nat 3X 20gm,Schwabe India,Trituration Tablets
WSI-TAB-1009-1,Schwabe India Fucus Ves 1X 20gm,Schwabe India,1X / Medicated Tablets
WSI-TAB-1009,Schwabe India Fucus Ves 1X Tablets 20 gm,Schwabe India,1X / Medicated Tablets
WSI-SYP-1012-1,Schwabe India Hertone 100ml,Schwabe India,Female Care
WSI-SYP-1007,Schwabe India Dizester Digestive Tonic SF 100ml,Schwabe India,Stomach Care
WSI-MT-3148-1,Schwabe India Gaultheria Pro Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-3138,Schwabe India Iberis Amara Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-3136,Schwabe India Euphorbium Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-3116,Schwabe India Ficus Indica Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3112,Schwabe India Euphorbia Cyparissias Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3109,Schwabe India Clematis Erecta Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3099,Schwabe India Atista Radix Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3092,Schwabe India Alstonia Scholaris Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3091,Schwabe India Acidum Pic Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3082-1,Schwabe India Phytolacca Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-3050,Schwabe India Potentilla Anserina Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3040,Schwabe India Lolium Temu Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-3005-1,Schwabe India Hydrangea Arbo Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-2991,Schwabe India Phaseolus Vulgaris / Nanus Q 100ml,Schwabe India,Mother Tincture 100 ml
WSI-MT-2988,Schwabe India Pareira Brava Q 30ml,Schwabe India,Mother Tincture 20 ml/30 ml
WSI-MT-2987,Schwabe India Olibanum / Boswellia Serrata Q 100ml,Schwabe India,Mother Tincture 100 ml
